# argus vocabulary — one row per label:  <label> TAB <group> TAB <tag path>
#
#   label:  the text the model scores (prompt: "a photo of a <label>")
#   group:  scene | object | extra — each group has its own top-k cap
#   path:   hierarchy the tag is attached under, rooted at the tag prefix (default Argus|)
#           (e.g. "Landscape|Lake" becomes the tag Argus|Landscape|Lake)
#
# Add your own terms as group "extra". Blank lines and # comments are ignored.
Airfield	scene	Location|Outdoor|Airfield
Airplane cabin	scene	Location|Indoor|Airplane cabin
Airport terminal	scene	Location|Indoor|Airport terminal
Alcove	scene	Location|Indoor|Alcove
Alley	scene	Location|Outdoor|Alley
Amphitheater	scene	Location|Outdoor|Amphitheater
Amusement arcade	scene	Location|Indoor|Amusement arcade
Amusement park	scene	Location|Outdoor|Amusement park
Apartment building outdoor	scene	Location|Outdoor|Apartment building
Aquarium	scene	Location|Indoor|Aquarium
Aqueduct	scene	Location|Outdoor|Aqueduct
Arcade	scene	Location|Indoor|Arcade
Arch	scene	Location|Outdoor|Arch
Archaelogical excavation	scene	Location|Outdoor|Archaeological excavation
Archive	scene	Location|Indoor|Archive
Arena hockey	scene	Location|Indoor|Hockey arena
Arena performance	scene	Location|Indoor|Performance arena
Arena rodeo	scene	Location|Outdoor|Rodeo arena
Army base	scene	Location|Outdoor|Army base
Art gallery	scene	Location|Indoor|Art gallery
Art school	scene	Location|Indoor|Art school
Art studio	scene	Location|Indoor|Art studio
Artists loft	scene	Location|Indoor|Artists loft
Assembly line	scene	Location|Indoor|Assembly line
Athletic field outdoor	scene	Location|Outdoor|Athletic field
Atrium public	scene	Location|Indoor|Atrium
Attic	scene	Location|Indoor|Attic
Auditorium	scene	Location|Indoor|Auditorium
Auto factory	scene	Location|Indoor|Auto factory
Auto showroom	scene	Location|Indoor|Auto showroom
Badlands	scene	Landscape|Badlands
Bakery shop	scene	Location|Indoor|Bakery shop
Balcony exterior	scene	Location|Outdoor|Balcony
Balcony interior	scene	Location|Indoor|Balcony
Ball pit	scene	Location|Indoor|Ball pit
Ballroom	scene	Location|Indoor|Ballroom
Bamboo forest	scene	Landscape|Bamboo forest
Bank vault	scene	Location|Indoor|Bank vault
Banquet hall	scene	Location|Indoor|Banquet hall
Bar	scene	Location|Indoor|Bar
Barn	scene	Location|Outdoor|Barn
Barndoor	scene	Objects|Barn door
Baseball field	scene	Location|Outdoor|Baseball field
Basement	scene	Location|Indoor|Basement
Basketball court indoor	scene	Location|Indoor|Basketball court
Bathroom	scene	Location|Indoor|Bathroom
Bazaar indoor	scene	Location|Indoor|Bazaar
Bazaar outdoor	scene	Location|Outdoor|Bazaar
Beach	scene	Landscape|Beach
Beach house	scene	Location|Outdoor|Beach house
Beauty salon	scene	Location|Indoor|Beauty salon
Bedchamber	scene	Location|Indoor|Bedchamber
Bedroom	scene	Location|Indoor|Bedroom
Beer garden	scene	Location|Outdoor|Beer garden
Beer hall	scene	Location|Indoor|Beer hall
Berth	scene	Location|Indoor|Berth
Biology laboratory	scene	Location|Indoor|Biology laboratory
Boardwalk	scene	Location|Outdoor|Boardwalk
Boat deck	scene	Location|Outdoor|Boat deck
Boathouse	scene	Location|Outdoor|Boathouse
Bookstore	scene	Location|Indoor|Bookstore
Booth indoor	scene	Location|Indoor|Booth
Botanical garden	scene	Location|Outdoor|Botanical garden
Bow window indoor	scene	Location|Indoor|Bow window
Bowling alley	scene	Location|Indoor|Bowling alley
Boxing ring	scene	Location|Indoor|Boxing ring
Bridge	scene	Location|Outdoor|Bridge
Building facade	scene	Location|Outdoor|Building facade
Bullring	scene	Location|Outdoor|Bullring
Burial chamber	scene	Location|Indoor|Burial chamber
Bus interior	scene	Location|Indoor|Bus interior
Bus station indoor	scene	Location|Indoor|Bus station
Butchers shop	scene	Location|Outdoor|Butchers shop
Butte	scene	Landscape|Butte
Cabin outdoor	scene	Location|Outdoor|Cabin
Cafeteria	scene	Location|Indoor|Cafeteria
Campsite	scene	Location|Outdoor|Campsite
Campus	scene	Location|Outdoor|Campus
Canal natural	scene	Landscape|Canal
Canal urban	scene	Location|Outdoor|Canal
Candy store	scene	Location|Indoor|Candy store
Canyon	scene	Landscape|Canyon
Car interior	scene	Location|Indoor|Car interior
Carrousel	scene	Location|Outdoor|Carrousel
Castle	scene	Location|Outdoor|Castle
Catacomb	scene	Location|Indoor|Catacomb
Cemetery	scene	Location|Outdoor|Cemetery
Chalet	scene	Location|Outdoor|Chalet
Chemistry lab	scene	Location|Indoor|Chemistry lab
Childs room	scene	Location|Indoor|Childs room
Church indoor	scene	Location|Indoor|Church
Church outdoor	scene	Location|Outdoor|Church
Classroom	scene	Location|Indoor|Classroom
Clean room	scene	Location|Indoor|Clean room
Cliff	scene	Landscape|Cliff
Closet	scene	Objects|Furniture|Closet
Clothing store	scene	Location|Indoor|Clothing store
Coast	scene	Landscape|Coast
Cockpit	scene	Location|Indoor|Cockpit
Coffee shop	scene	Location|Indoor|Coffee shop
Computer room	scene	Location|Indoor|Computer room
Conference center	scene	Location|Indoor|Conference center
Conference room	scene	Location|Indoor|Conference room
Construction site	scene	Location|Outdoor|Construction site
Corn field	scene	Landscape|Corn field
Corral	scene	Location|Outdoor|Corral
Corridor	scene	Location|Indoor|Corridor
Cottage	scene	Location|Outdoor|Cottage
Courthouse	scene	Location|Outdoor|Courthouse
Courtyard	scene	Location|Outdoor|Courtyard
Creek	scene	Landscape|Creek
Crevasse	scene	Landscape|Crevasse
Crosswalk	scene	Location|Outdoor|Crosswalk
Dam	scene	Location|Outdoor|Dam
Delicatessen	scene	Location|Indoor|Delicatessen
Department store	scene	Location|Indoor|Department store
Desert sand	scene	Landscape|Desert
Desert vegetation	scene	Landscape|Desert vegetation
Desert road	scene	Landscape|Desert road
Diner outdoor	scene	Location|Outdoor|Diner
Dining hall	scene	Location|Indoor|Dining hall
Dining room	scene	Location|Indoor|Dining room
Discotheque	scene	Location|Indoor|Discotheque
Doorway outdoor	scene	Location|Outdoor|Doorway
Dorm room	scene	Location|Indoor|Dorm room
Downtown	scene	Location|Outdoor|Downtown
Dressing room	scene	Location|Indoor|Dressing room
Driveway	scene	Location|Outdoor|Driveway
Drugstore	scene	Location|Indoor|Drugstore
Elevator door	scene	Location|Indoor|Elevator door
Elevator lobby	scene	Location|Indoor|Elevator lobby
Elevator shaft	scene	Location|Indoor|Elevator shaft
Embassy	scene	Location|Outdoor|Embassy
Engine room	scene	Location|Indoor|Engine room
Entrance hall	scene	Location|Indoor|Entrance hall
Escalator indoor	scene	Location|Indoor|Escalator
Excavation	scene	Location|Outdoor|Excavation
Fabric store	scene	Location|Indoor|Fabric store
Farm	scene	Location|Outdoor|Farm
Fastfood restaurant	scene	Location|Indoor|Fastfood restaurant
Field cultivated	scene	Landscape|Cultivated field
Field wild	scene	Landscape|Wild field
Field road	scene	Landscape|Field road
Fire escape	scene	Location|Outdoor|Fire escape
Fire station	scene	Location|Outdoor|Fire station
Fishpond	scene	Location|Outdoor|Fishpond
Flea market indoor	scene	Location|Indoor|Flea market
Florist shop indoor	scene	Location|Indoor|Florist shop
Food court	scene	Location|Indoor|Food court
Football field	scene	Location|Outdoor|Football field
Forest broadleaf	scene	Landscape|Broadleaf forest
Forest path	scene	Landscape|Forest path
Forest road	scene	Landscape|Forest road
Formal garden	scene	Location|Outdoor|Formal garden
Fountain	scene	Location|Outdoor|Fountain
Galley	scene	Location|Indoor|Galley
Garage indoor	scene	Location|Indoor|Garage
Garage outdoor	scene	Location|Outdoor|Garage
Gas station	scene	Location|Outdoor|Gas station
Gazebo exterior	scene	Location|Outdoor|Gazebo
General store indoor	scene	Location|Indoor|General store
General store outdoor	scene	Location|Outdoor|General store
Gift shop	scene	Location|Indoor|Gift shop
Glacier	scene	Landscape|Glacier
Golf course	scene	Location|Outdoor|Golf course
Greenhouse indoor	scene	Location|Indoor|Greenhouse
Greenhouse outdoor	scene	Location|Outdoor|Greenhouse
Grotto	scene	Landscape|Grotto
Gymnasium indoor	scene	Location|Indoor|Gymnasium
Hangar indoor	scene	Location|Indoor|Hangar
Hangar outdoor	scene	Location|Outdoor|Hangar
Harbor	scene	Location|Outdoor|Harbor
Hardware store	scene	Location|Indoor|Hardware store
Hayfield	scene	Landscape|Hayfield
Heliport	scene	Location|Outdoor|Heliport
Highway	scene	Location|Outdoor|Highway
Home office	scene	Location|Indoor|Home office
Home theater	scene	Location|Indoor|Home theater
Hospital	scene	Location|Outdoor|Hospital
Hospital room	scene	Location|Indoor|Hospital room
Hot spring	scene	Landscape|Hot spring
Hotel outdoor	scene	Location|Outdoor|Hotel
Hotel room	scene	Location|Indoor|Hotel room
House	scene	Location|Outdoor|House
Hunting lodge outdoor	scene	Location|Outdoor|Hunting lodge
Ice cream parlor	scene	Location|Indoor|Ice cream parlor
Ice floe	scene	Landscape|Ice floe
Ice shelf	scene	Landscape|Ice shelf
Ice skating rink indoor	scene	Location|Indoor|Ice skating rink
Ice skating rink outdoor	scene	Location|Outdoor|Ice skating rink
Iceberg	scene	Landscape|Iceberg
Igloo	scene	Location|Outdoor|Igloo
Industrial area	scene	Location|Outdoor|Industrial area
Inn outdoor	scene	Location|Outdoor|Inn
Islet	scene	Landscape|Islet
Jacuzzi indoor	scene	Location|Indoor|Jacuzzi
Jail cell	scene	Location|Indoor|Jail cell
Japanese garden	scene	Location|Outdoor|Japanese garden
Jewelry shop	scene	Location|Indoor|Jewelry shop
Junkyard	scene	Location|Outdoor|Junkyard
Kasbah	scene	Location|Outdoor|Kasbah
Kennel outdoor	scene	Location|Outdoor|Kennel
Kindergarden classroom	scene	Location|Indoor|Kindergarden classroom
Kitchen	scene	Location|Indoor|Kitchen
Lagoon	scene	Landscape|Lagoon
Lake natural	scene	Landscape|Lake
Landfill	scene	Location|Outdoor|Landfill
Landing deck	scene	Location|Outdoor|Landing deck
Laundromat	scene	Location|Indoor|Laundromat
Lawn	scene	Location|Outdoor|Lawn
Lecture room	scene	Location|Indoor|Lecture room
Legislative chamber	scene	Location|Indoor|Legislative chamber
Library indoor	scene	Location|Indoor|Library
Library outdoor	scene	Location|Outdoor|Library
Lighthouse	scene	Location|Outdoor|Lighthouse
Living room	scene	Location|Indoor|Living room
Loading dock	scene	Location|Outdoor|Loading dock
Lobby	scene	Location|Indoor|Lobby
Lock chamber	scene	Location|Outdoor|Lock chamber
Locker room	scene	Location|Indoor|Locker room
Mansion	scene	Location|Outdoor|Mansion
Manufactured home	scene	Location|Outdoor|Manufactured home
Market indoor	scene	Location|Indoor|Market
Market outdoor	scene	Location|Outdoor|Market
Marsh	scene	Landscape|Marsh
Martial arts gym	scene	Location|Indoor|Martial arts gym
