# scientific name <TAB> rank <TAB> English name
# generated by tools/make_rank_names.py from the GBIF Backbone Taxonomy — edit freely
Animalia	kingdom	Animals
Chromista	kingdom	Kelp, Diatoms, and Allies
Fungi	kingdom	Fungi Including Lichens
Plantae	kingdom	Plants
Protozoa	kingdom	Protozoans
Actinopterygii	class	Ray-finned Fishes
Alphaproteobacteria	class	Α-Proteobacterias
Amphibia	class	Amphibians
Anthozoa	class	Anthozoans
Arachnida	class	Arachnids
Ascidiacea	class	Sea Squirts
Asteroidea	class	Sea Stars
Aves	class	Birds
Bacillariophyceae	class	Featherlike Diatoms
Bacilli	class	Aerobic Endospore-Forming Bacterias
Bivalvia	class	Bivalves
Branchiopoda	class	Phyllopods
Bryopsida	class	Mosses
Calcarea	class	Calcareous Sponges
Cephalopoda	class	Cephalopods
Cestoda	class	Cestodes
Charophyceae	class	Charophytes
Chilopoda	class	Centipeds
Chlorophyceae	class	Chlorophycean Green Algaes
Choanoflagellatea	class	Choanoflagellates
Chrysophyceae	class	A Chrysophytes
Clitellata	class	Clitellates
Collembola	class	Springtails
Conjugatophyceae	class	Conjugating Green Algaes
Copepoda	class	Copepods
Craniata	class	Craniate Brachiopods
Crinoidea	class	Sea Lilies
Cubozoa	class	Sea Wasps
Cycadopsida	class	Cycads
Demospongiae	class	Demosponges
Dinophyceae	class	Dinoflagellates
Diplopoda	class	Millipedes
Echinoidea	class	Sea Urchins
Elasmobranchii	class	Sharks and Rays
Eutardigrada	class	Eutardigrades
Gammaproteobacteria	class	Γ-Proteobacterias
Gastropoda	class	Snails and Slugs
Ginkgoopsida	class	Ginkgos
Gymnolaemata	class	Gymnolaemates
Heterotardigrada	class	Heterotardigrades
Hexactinellida	class	Glass Sponges
Holocephali	class	Chimaeras
Holothuroidea	class	Sea Cucumbers
Hydrozoa	class	Hydroids
Insecta	class	Insects
Jungermanniopsida	class	Liverworts
Lecanoromycetes	class	Common Lichens
Liliopsida	class	Monocots
Lingulata	class	Lingulate Brachiopods
Lobosa	class	Lobose Amoebas
Lycopodiopsida	class	Lycophytes
Magnoliopsida	class	Dicotyledons
Malacostraca	class	Crabs, Lobsters and Shrimp
Mammalia	class	Mammals
Marchantiopsida	class	Liverworts
Maxillopoda	class	Maxillopods
Merostomata	class	Horseshoe Crabs
Monogenea	class	Monogeneans
Monoplacophora	class	Monoplacophorans
Myxomycetes	class	True Slime Molds
Ophiuroidea	class	Brittlestars
Ostracoda	class	Ostracods
Pauropoda	class	Pauropods
Pezizomycetes	class	Operculate Ascomycetes
Phaeophyceae	class	Brown Algaes
Phylactolaemata	class	Phylactolaemates
Pinopsida	class	Conifers
Polychaeta	class	Bristle Worms
Polyplacophora	class	Chitons
Polypodiopsida	class	Leptosporangiate Ferns
Pterobranchia	class	Pterobranchs
Pycnogonida	class	Sea Spiders
Rhynchonellata	class	Articulate Brachiopods
Saccharomycetes	class	Budding Yeasts
Scaphopoda	class	Scaphopods
Scyphozoa	class	Jellyfishes
Sordariomycetes	class	Pyrenomycetes
Squamata	class	Lizards and Snakes
Staurozoa	class	Stalked Jellyfishes
Stenolaemata	class	Stenolaemates
Tentaculata	class	Tentaculates
Trematoda	class	Flukes
Trilobita	class	Trilobites
Ulvophyceae	class	Sea Lettuces and Single-Celled Algae
Ustilaginomycetes	class	Smut Fungis
Xanthophyceae	class	Yellow-Green Algaes
Accipitriformes	order	Hawks and Eagles
Acorales	order	Sweet Flag and Allies
Actiniaria	order	Sea Anemones
Agaricales	order	Agarics
Alismatales	order	Water Plantains and Allies
Amblypygi	order	Amblypygids
Amphipoda	order	Amphipods
Anguilliformes	order	Eels
Anostraca	order	Anostracans
Anseriformes	order	Waterfowl
Antipatharia	order	Black Corals
Anura	order	Frogs and Toads
Apiales	order	Carrots, Ivies, and Allies
Apodiformes	order	Swifts and Hummingbirds
Apterygiformes	order	Kiwis
Aquifoliales	order	Hollies and Allies
Araneae	order	Spiders
Arcellinida	order	Shelled Lobosid Amoebas
Archaeognatha	order	Jumping Bristletails
Architaenioglossa	order	Architaenioglossan Snails
Arhynchobdellida	order	Proboscisless Leeches
Artiodactyla	order	Even-toed Ungulates
Asparagales	order	Agaves, Orchids, Irises, and Allies
Asterales	order	Sunflowers, Bellflowers, Fanflowers, and Allies
Belemnitida	order	Belemnites
Beroida	order	Beroids
Blattodea	order	Cockroaches and Termites
Boletales	order	Boletes and Allies
Branchiobdellida	order	Branchiobdellidans
Brassicales	order	Mustards, Capers, and Allies
Bucerotiformes	order	Hornbills and Hoopoes
Calanoida	order	Calanoid Copepods
Caprimulgiformes	order	Nightjars
Carcharhiniformes	order	Ground Sharks
Carnivora	order	Carnivores
Caryophyllales	order	Pinks, Cactuses, and Allies
Casuariiformes	order	Emus
Caudata	order	Salamanders
Caudovirales	order	Tailed Bacteriophages
Celastrales	order	Staff-Vines and Allies
Cephalaspidea	order	Bubble Snails
Ceratitida	order	Ceratites
Ceratodontiformes	order	Australian Lungfishes
Cetacea	order	Whales and Dolphins
Charadriiformes	order	Shorebirds
Charales	order	Stoneworts
Chimaeriformes	order	Chimaeras
Chiroptera	order	Bats
Chromatiales	order	Purple Sulfur Bacterias
Ciconiiformes	order	Storks
Cidaroida	order	Pencil Urchins
Clypeasteroida	order	Sand Dollars
Coelacanthiformes	order	Coelacanths
Coleoptera	order	Beetles
Coliiformes	order	Mousebirds
Columbiformes	order	Pigeons and Doves
Comatulida	order	Feather Stars
Commelinales	order	Spiderworts and Allies
Coraciiformes	order	Kingfishers and Rollers
Corallimorpharia	order	False Corals
Cornales	order	Dogwoods, Hydrangeas, and Allies
Craniida	order	Craniate Brachiopods
Crossosomatales	order	Crabapple Bushes, Bladdernuts, and Allies
Ctenostomatida	order	Ctenostomatid Bryozoans
Cuculiformes	order	Cuckoos
Cumacea	order	Cumaceans
Cyatheales	order	Tree Ferns
Cyclopoida	order	Cyclopoid Copepods
Cypriniformes	order	Minnows
Dasyuromorphia	order	Carnivorous Marsupials
Decapoda	order	Decapods
Dermaptera	order	Earwigs
Dermoptera	order	Flying Lemurs
Desmidiales	order	Desmids
Didelphimorphia	order	Marsupials
Dioscoreales	order	Yams, Colicroots, and Allies
Diplobelida	order	Belemnites
Diplostraca	order	Clam Shrimps & Waterfleas
Diplura	order	Two-pronged Bristletails
Diprotodontia	order	Koalas, Wombats, Possums, Macropods, Etc
Dipsacales	order	Honeysuckles, Moschatels, and Allies
Diptera	order	Flies
Ellobiida	order	Hollow-Shelled, Ear-Shaped, and Button Snails
Embioptera	order	Webspinners
Entomophthorales	order	Insect Destroyers
Ephemeroptera	order	Mayflies
Equisetales	order	Horsetails
Ericales	order	Heathers, Balsams, Primroses, and Allies
Euryalida	order	Basket Stars
Fabales	order	Legumes, Milkworts, and Allies
Fagales	order	Beeches, Oaks, Walnuts, and Allies
Falconiformes	order	Falcons
Gadiformes	order	Cods
Galliformes	order	Landfowl
Gaviiformes	order	Loons
Geastrales	order	Earth Stars
Gentianales	order	Gentians, Dogbanes, Madders, and Allies
Geophilomorpha	order	Soil Centipedes
Geraniales	order	Geraniums, Bridal Wreaths, and Allies
Gruiformes	order	Cranes and Rails
Grylloblattodea	order	Ice Crawlers
Gymnophiona	order	Caecilians
Hemiptera	order	True Bugs
Heterodontiformes	order	Bullhead Sharks
Hippuritida	order	Rudists
Hymenophyllales	order	Filmy Ferns
Hymenoptera	order	Bees, Wasps and Ants
Hyracoidea	order	Hyraxes
Isoetales	order	Quillworts
Isopoda	order	Isopods
Ixodida	order	Ticks
Julida	order	Snake Millipedes
Lactobacillales	order	Lactic Acid Bacterias
Lagomorpha	order	Rabbits and Hares
Lamiales	order	Mints, Plantains, Olives, and Allies
Lamniformes	order	Lamnoid Sharks
Laurales	order	Laurels, Spicebushes, and Allies
Lepidoptera	order	Butterflies and Moths
Leptosomiformes	order	Cuckoo-Rollers
Liliales	order	Lilies, Supplejacks, and Allies
Lingulida	order	Lingulate Brachiopods
Lithobiomorpha	order	Stone Centipedes
Littorinimorpha	order	Littorinimorph Snails
Lobata	order	Lobates
Lophiiformes	order	Anglerfishes
Lophogastrida	order	Lophogastrids
Lycopodiales	order	Clubmosses
Macroscelidea	order	Elephant Shrews
Magnoliales	order	Magnolias, Nutmegs, and Allies
Malpighiales	order	Nances, Willows, and Allies
Malvales	order	Mallows, Rock-Roses, and Allies
Mantodea	order	Mantises
Mantophasmatodea	order	Gladiators
Marchantiales	order	Complex Thallose Liverworts
Mecoptera	order	Snowflies
Megaloptera	order	Alderflies
Meganisoptera	order	Griffinflies
Mesostigmata	order	Mites
Metzgeriales	order	Simple Thalloid Liverworts
Monotremata	order	Monotremes
Myliobatiformes	order	Stingrays
Myrtales	order	Myrtles, Evening Primroses, and Allies
Mysida	order	Mysids
Myxiniformes	order	Hagfishes
Myxococcales	order	Myxobacterias
Nautilida	order	Nautiluses
Neogastropoda	order	Neogastropods: Whelks & Cone Shells
Neuroptera	order	Antlions
Notoryctemorphia	order	Marsupial 'moles's
Notostraca	order	Tadpole Shrimps
Nudibranchia	order	Sea Slugs
Nymphaeales	order	Water-Lilies, Fanworts, and Allies
Octopoda	order	Octopus
Odonata	order	Dragonflies and Damselflies
Ophioglossales	order	Adder'S-Tongues and Allies
Opiliones	order	Daddy Longlegs
Orectolobiformes	order	Carpet Sharks
Orthoptera	order	Grasshoppers and Crickets
Osteoglossiformes	order	Bonytongues
Ostreida	order	Oysters
Oxalidales	order	Woodsorrels, Quandongs, and Allies
Palpigradi	order	Palpigrades
Pantopoda	order	Sea Spiders
Passeriformes	order	Perching Birds
Paucituberculata	order	Shrew Opossums
Pectinida	order	Scallops
Pedunculata	order	Stalked Barnacles
Pelecaniformes	order	Pelicans, Herons and Ibises
Peramelemorphia	order	Bandicoots, Bilbies
Perciformes	order	Perch-Like Fish
Perissodactyla	order	Odd-toed Ungulates
Peronosporales	order	Downy Mildews
Petromyzontiformes	order	Lampreys
Pezizales	order	Cup Fungus
Phaethontiformes	order	Tropicbirds
Phallales	order	Stinkhorns and Allies
Phasmida	order	Stick Insects, Walking Sticks, Leaf Insects
Phoenicopteriformes	order	Flamingos
Pholidota	order	Pangolins
Phyllodocida	order	Scale Worms
Piciformes	order	Woodpeckers and Toucans
Pilosa	order	Sloths
Pinales	order	Pines
Piperales	order	Pepper Plants, Birthworts, and Allies
Plecoptera	order	Stoneflies
Pleuronectiformes	order	Flat Fish
Poales	order	Grasses, Sedges, and Allies
Podicipediformes	order	Grebes
Polydesmida	order	Flat-Backed Millipedes
Polyporales	order	Polypores
Primates	order	Primates
Pristiophoriformes	order	Saw Sharks
Proboscidea	order	Elephants
Procellariiformes	order	Albatrosses, Petrels
Proteales	order	Proteas, Lotuses, Planes, and Allies
Protura	order	Proturans
Pseudoscorpiones	order	Pseudoscorpions
Psittaciformes	order	Parrots
Psocodea	order	Barklice, Booklice, and Parasitic Lice
Pteroclidiformes	order	Sandgrouses
Pteropoda	order	Pteropods
Pucciniales	order	Rust Fungis
Rajiformes	order	Skates
Ranunculales	order	Buttercups, Poppies, and Allies
Raphidioptera	order	Snakeflies
Rheiformes	order	Rheas
Rhizostomeae	order	Rhizostome Jellyfishes
Rhynchobdellida	order	Jawless Leeches
Ricinulei	order	Ricinuleids
Rodentia	order	Rodents
Rosales	order	Roses, Elms, Figs, and Allies
Santalales	order	Sandalwoods, Mistletoes, and Allies
Sapindales	order	Soapberries, Cashews, Mahoganies, and Allies
Saxifragales	order	Saxifrages, Stonecrops, and Allies
Scandentia	order	Treeshrews
Schizomida	order	Schizomids
Scleractinia	order	Hard Corals
Scorpiones	order	Scorpions
Scutigeromorpha	order	House Centipedes
Selaginellales	order	Spikemosses
Semaeostomeae	order	Semaeostome Jellyfishes
Sepiida	order	Cuttlefishes
Sessilia	order	Sessile Barnacles
Siphonaptera	order	Fleas
Siphonophorae	order	Siphonophores
Sirenia	order	Sirens
Solanales	order	Nightshades, Bindweeds, Gooseweeds, and Allies
Solifugae	order	Solifuges
Spatangoida	order	Heart Urchins
Sphenisciformes	order	Penguins
Spongillida	order	Freshwater Sponges
Squaliformes	order	Dogfish Sharks
Stauromedusae	order	Stalked Jellyfishes
Stomatopoda	order	Mantis Shrimps
Strepsiptera	order	Strepsipterans
Strigiformes	order	Owls
Struthioniformes	order	Ostriches
Stylommatophora	order	Common Land Snails and Slugs
Suliformes	order	Cormorants and Gannets
Tanaidacea	order	Tanaids
Tetraodontiformes	order	Puffers
Thermosbaenacea	order	Hot-springs Shrimps
Thysanoptera	order	Thrips
Tinamiformes	order	Tinamous
Tintinnida	order	Tintinnids
Torpediniformes	order	Electric Rays
Tremellales	order	Jelly Fungis
Trentepohliales	order	Orange Terrestrial Algaes
Trichoptera	order	Caddisflies
Trogoniformes	order	Trogons
Trombidiformes	order	Trombidiform Mites
Tubulidentata	order	Aardvarks
Unionida	order	Freshwater Mussels
Uropygi	order	Uropygids
Vampyromorpha	order	Vampire Squids
Vitales	order	Grapes and Allies
Zoantharia	order	Colonial Anemones
Zygentoma	order	Silverfishes
Zygnematales	order	Desmids
Abrocomidae	family	Chinchilla Rats
Acanaloniidae	family	Acanalonid Planthoppers
Acanthaceae	family	Acanthus Families
Acanthasteridae	family	Crown of Thorns Starfishes
Acanthisittidae	family	New Zealand Wrens
Acanthizidae	family	Australasian Warblers
Acanthosomatidae	family	Acanthosomatids
Acaridae	family	Acarid Mites
Accipitridae	family	Hawks and Eagles
Achatinidae	family	Giant African Snails
Achilidae	family	Achilid Planthoppers
Acoraceae	family	Sweet Flags
Acrididae	family	Grasshoppers
Acrobatidae	family	Feather-tailed Possums
Acrocephalidae	family	Reed Warblers & Allies
Acroceridae	family	Small-Headed Flies
Acteonidae	family	Baby Bubbles
Adelgidae	family	Pine Aphids
Adelidae	family	Fairy Moths
